"user","beer_id"
"Bitterbill",29619
"Bitterbill",32286
"Bitterbill",46363
"blitheringidiot",1483
"blitheringidiot",2751
"blitheringidiot",3916
"blitheringidiot",6108
"blitheringidiot",6108
"blitheringidiot",33243
"bobsy",916
"bobsy",1093
"bobsy",2751
"bobsy",6108
"bobsy",6368
"bobsy",16403
"bobsy",28203
"bobsy",48098
"Brad007",3951
"Brad007",16403
"Brad007",28203
"Brad007",37477
"brentk56",505
"brentk56",4373
"brentk56",5133
"brentk56",29127
"brewdlyhooked13",1093
"brewdlyhooked13",1483
"brewdlyhooked13",3916
"brewdlyhooked13",5441
"brewdlyhooked13",6108
"brewdlyhooked13",6368
"brewdlyhooked13",20389
"brewdlyhooked13",27604
"brewdlyhooked13",29619
"brewdlyhooked13",33624
"brewdlyhooked13",48098
"brewdlyhooked13",49704
"BuckeyeNation",1093
"BuckeyeNation",4571
"BuckeyeNation",4902
"BuckeyeNation",6509
"BuckeyeNation",9088
"BuckeyeNation",11922
"BuckeyeNation",16403
"BuckeyeNation",16940
"BuckeyeNation",22790
"BuckeyeNation",26073
"BuckeyeNation",29619
"BuckeyeNation",33467
"BuckeyeNation",35608
"BuckeyeNation",53267
"BuckeyeNation",53267
"canucklehead",1904
"canucklehead",5487
"canucklehead",9088
"canucklehead",22505
"canucklehead",29209
"canucklehead",49058
"ccrida",1904
"ccrida",4373
"ccrida",5385
"ccrida",22505
"ccrida",22787
"ccrida",29619
"ccrida",33467
"ccrida",44749
"ccrida",60044
"ClockworkOrange",709
"ClockworkOrange",16403
"cokes",1093
"cokes",1904
"cokes",4902
"cokes",6368
"cokes",12335
"corby112",88
"corby112",1093
"corby112",1493
"corby112",5441
"corby112",5441
"corby112",22790
"corby112",29127
"corby112",29619
"corby112",33624
"corby112",33670
"corby112",39705
"corby112",44749
"corby112",49058
"cpetrone84",6368
"cpetrone84",49058
"CrellMoset",16779
"CrellMoset",32286
"crossovert",88
"crossovert",28203
"crossovert",38180
"Cyberkedi",1493
"Cyberkedi",1493
"Derek",205
"Derek",361
"Derek",1093
"Derek",4902
"Derek",5441
"Deuane",1093
"Deuane",1093
"Deuane",6368
"Deuane",6368
"Deuane",15018
"Deuane",17443
"Deuane",17443
"Deuane",17900
"Deuane",17900
"Deuane",22505
"Deuane",23407
"Deuane",27604
"Deuane",28203
"Deuane",29619
"Deuane",29619
"Deuane",32286
"Deuane",34436
"Deuane",36585
"Deuane",39705
"Deuane",40188
"Deuane",62416
"Deuane",62416
"DogFood11",22505
"DogFood11",38180
"DogFood11",42533
"DogFood11",57252
"DoubleJ",88
"DoubleJ",709
"DoubleJ",1904
"DoubleJ",32286
"drabmuh",88
"drabmuh",22790
"drabmuh",28203
"drabmuh",32286
"drabmuh",34436
"DrJay",361
"DrJay",3916
"drpimento",88
"drpimento",361
"drpimento",1005
"drpimento",6108
"drpimento",28793
"drpimento",48458
"drpimento",53267
"dyan",1093
"dyan",1093
"dyan",6368
"dyan",17443
"dyan",22790
"dyan",22790
"dyan",29619
"dyan",32286
"dyan",40502
"dyan",59163
"feloniousmonk",1093
"feloniousmonk",6368
"feloniousmonk",28203
"ffejherb",22790
"ffejherb",29619
"ffejherb",29619
"ffejherb",33467
"ffejherb",36585
"ffejherb",62416
"flexabull",1904
"flexabull",3916
"flexabull",6549
"flexabull",22790
"flexabull",27604
"flexabull",32286
"Floydster",88
"Floydster",6368
"Floydster",22790
"Floydster",28203
"Floydster",33670
"francisweizen",361
"francisweizen",2729
"francisweizen",4902
"francisweizen",6108
"francisweizen",6368
"francisweizen",6509
"francisweizen",9088
"francisweizen",16403
"francisweizen",16940
"francisweizen",17443
"francisweizen",28203
"Frozensoul327",1093
"Frozensoul327",5133
"garymuchow",6368
"garymuchow",62328
"Gavage",361
"Gavage",1093
"Gavage",1616
"Gavage",1904
"Gavage",2751
"Gavage",5219
"Gavage",6549
"Gavage",9088
"Gavage",15758
"Gavage",16779
"Gavage",22505
"Gavage",22790
"Gavage",29619
"Gavage",37477
"Gavage",62328
"GbVDave",6368
"GbVDave",22790
"GbVDave",27604
"GbVDave",29619
"GbVDave",32286
"GbVDave",59760
"GCBrewingCo",1093
"GCBrewingCo",11922
"GClarkage",88
"GClarkage",2519
"GClarkage",12322
"Georgiabeer",3951
"Georgiabeer",27604
"gford217",88
"gford217",5219
"gford217",27604
"gford217",29619
"gford217",33243
"gford217",43101
"gford217",48458
"gford217",53267
"glid02",88
"glid02",1093
"glid02",1093
"glid02",1904
"glid02",1904
"glid02",38799
"Gmann",20478
"Gmann",22790
"granger10",1093
"granger10",25755
"Gueuzedude",1904
"Gueuzedude",25755
"Gueuzedude",37477
"Halcyondays",1005
"Halcyondays",22790
"Halcyondays",27604
"Halcyondays",35626
"Haybeerman",28793
"Haybeerman",29688
"Hojaminbag",1005
"Hojaminbag",1904
"Hojaminbag",22189
"Hojaminbag",28203
"Hojaminbag",29619
"HopHead84",29619
"HopHead84",40502
"Huhzubendah",6368
"Huhzubendah",17443
"Huhzubendah",20478
"Huhzubendah",22790
"Huhzubendah",29619
"Huhzubendah",32286
"illidurit",1005
"illidurit",3916
"illidurit",3916
"illidurit",6368
"illidurit",22790
"illidurit",29619
"illidurit",32286
"IntriqKen",2729
"IntriqKen",7200
"IntriqKen",8312
"IntriqKen",16376
"IntriqKen",16403
"IntriqKen",22505
"IntriqKen",28203
"IntriqKen",29619
"IntriqKen",33243
"IntriqKen",33467
"IntriqKen",38180
"JamesS",2904
"JamesS",20969
"JamesS",29127
"JamesS",30420
"JamesS",58534
"Jason",1005
"Jason",16403
"JoeyBeerBelly",88
"JoeyBeerBelly",1093
"JoeyBeerBelly",4902
"JoeyBeerBelly",6549
"JoeyBeerBelly",20478
"JoeyBeerBelly",22189
"JoeyBeerBelly",28203
"JoeyBeerBelly",29619
"JoeyBeerBelly",29619
"JoeyBeerBelly",55081
"johnmichaelsen",916
"johnmichaelsen",29619
"johnmichaelsen",29619
"johnmichaelsen",29619
"johnmichaelsen",29619
"johnmichaelsen",37340
"johnmichaelsen",60044
"johnmichaelsen",60044
"jrallen34",11922
"jrallen34",35608
"jrallen34",49058
"jwc215",88
"jwc215",709
"jwc215",3358
"jwc215",6368
"jwc215",20335
"jwc215",22790
"jwc215",29619
"jwinship83",1493
"jwinship83",2751
"jwinship83",5441
"jwinship83",6368
"jwinship83",17900
"jwinship83",28203
"jwinship83",49058
"KarlHungus",361
"KarlHungus",6368
"KarlHungus",16376
"KarlHungus",20478
"KarlHungus",20969
"KarlHungus",26073
"KarlHungus",28203
"KarlHungus",35626
"KarlHungus",48458
"KarlHungus",53267
"kbutler1",6368
"kbutler1",38799
"Kegatron",3977
"Kegatron",17443
"Kegatron",22787
"Kegatron",40188
"kingcrowing",3951
"kingcrowing",15018
"kingcrowing",29619
"kmpitz2",88
"kmpitz2",611
"kmpitz2",1093
"kmpitz2",3916
"kmpitz2",4902
"kmpitz2",6368
"kmpitz2",6368
"kmpitz2",6549
"kmpitz2",6549
"kmpitz2",9088
"kmpitz2",12322
"kmpitz2",20389
"kmpitz2",22790
"kmpitz2",29127
"ktrillionaire",1093
"ktrillionaire",1904
"ktrillionaire",3916
"ktrillionaire",5554
"ktrillionaire",22505
"ktrillionaire",29619
"ktrillionaire",29619
"ktrillionaire",30420
"ktrillionaire",35608
"ktrillionaire",44749
"ktrillionaire",46363
"ktrillionaire",50081
"ktrillionaire",50081
"ktrillionaire",59173
"ktrillionaire",59760
"lackenhauser",88
"lackenhauser",1493
"lackenhauser",1904
"lackenhauser",16403
"lackenhauser",42533
"lacqueredmouse",29619
"lacqueredmouse",50081
"largadeer",22790
"largadeer",27604
"largadeer",28203
"largadeer",29619
"largadeer",32286
"largadeer",40502
"LilBeerDoctor",1904
"LilBeerDoctor",6549
"LilBeerDoctor",6549
"LilBeerDoctor",29688
"LilBeerDoctor",44749
"LilBeerDoctor",50081
"magictrokini",29619
"magictrokini",35626
"marc77",1093
"marc77",1746
"marc77",3977
"marc77",4902
"marc77",6108
"marc77",6368
"MasterSki",1093
"MasterSki",6368
"MasterSki",17443
"MasterSki",20478
"MasterSki",23407
"MasterSki",27604
"MasterSki",28203
"MasterSki",28203
"MasterSki",29127
"MasterSki",29127
"MasterSki",29619
"MasterSki",33215
"MasterSki",34436
"MasterSki",59672
"maximum12",1483
"maximum12",6076
"maximum12",6368
"maximum12",20478
"maximum12",22505
"maximum12",27604
"maximum12",28203
"maximum12",33467
"maximum12",35608
"maximum12",38180
"maximum12",38799
"maximum12",62416
"mcallister",88
"mcallister",1904
"mcallister",3916
"mcallister",22790
"mcallister",28203
"mcallister",28203
"mcallister",29127
"mcallister",29619
"mcallister",38180
"mdfb79",6368
"mdfb79",15018
"Mebuzzard",611
"Mebuzzard",1904
"mentor",88
"mentor",1005
"mentor",1093
"mentor",1093
"mentor",1746
"mentor",2729
"mentor",6368
"mentor",9088
"mentor",9182
"merlin48",311
"merlin48",1904
"merlin48",3916
"merlin48",4571
"merlin48",20389
"merlin48",29619
"Metalmonk",3916
"Metalmonk",5441
"Metalmonk",6108
"Metalmonk",28203
"Metalmonk",29619
"Metalmonk",57252
"mikesgroove",1093
"mikesgroove",1483
"mikesgroove",1904
"mikesgroove",2729
"mikesgroove",2904
"mikesgroove",6108
"mikesgroove",6368
"mikesgroove",6549
"mikesgroove",9088
"mikesgroove",16779
"mikesgroove",22189
"mikesgroove",22505
"mikesgroove",22790
"mikesgroove",27604
"mikesgroove",29127
"mikesgroove",29619
"mikesgroove",30420
"mikesgroove",32286
"mikesgroove",35626
"mikesgroove",38180
"mikesgroove",38799
"mikesgroove",40502
"mikesgroove",41872
"mikesgroove",42533
"mikesgroove",43101
"mikesgroove",44749
"mikesgroove",46363
"mikesgroove",48243
"mikesgroove",49058
"mikesgroove",53267
"mikesgroove",55417
"mikesgroove",59163
"mikesgroove",59173
"mikesgroove",59760
"mikesgroove",60670
"Mitchster",88
"Mitchster",1093
"Mitchster",25755
"msubulldog25",1093
"msubulldog25",32286
"msubulldog25",44749
"mynie",3916
"mynie",5441
"mynie",6368
"mynie",6368
"mynie",6368
"mynie",11922
"mynie",28203
"mynie",58534
"nickd717",5441
"nickd717",20478
"nickd717",40502
"northyorksammy",2751
"northyorksammy",6368
"nrbw23",6368
"nrbw23",29127
"nrbw23",33215
"nrbw23",35608
"Offa",1472
"Offa",1904
"Offa",22790
"Offa",48458
"orbitalr0x",1093
"orbitalr0x",1904
"orbitalr0x",4902
"orbitalr0x",6368
"orbitalr0x",27604
"orbitalr0x",29619
"orbitalr0x",32286
"orbitalr0x",60670
"Overlord",88
"Overlord",709
"Overlord",829
"Overlord",3916
"Overlord",6368
"Overlord",22790
"Overlord",27604
"Overlord",29619
"Overlord",33670
"Overlord",35626
"Overlord",38799
"Overlord",42533
"Overlord",49058
"OWSLEY069",709
"OWSLEY069",6076
"OWSLEY069",17900
"OWSLEY069",22790
"OWSLEY069",29619
"OWSLEY069",31763
"OWSLEY069",32286
"Phatz",611
"Phatz",1093
"Phatz",5441
"Phatz",6368
"Phatz",6549
"Phatz",25755
"Phatz",28203
"Phatz",33243
"Phatz",37340
"pmcadamis",361
"pmcadamis",403
"pmcadamis",1005
"pmcadamis",1093
"pmcadamis",1904
"pmcadamis",2904
"pmcadamis",5441
"pmcadamis",22505
"pmcadamis",25755
"pmcadamis",30420
"pmcadamis",37477
"pmcadamis",44749
"pmcadamis",48243
"pmcadamis",55081
"ppoitras",361
"ppoitras",1956
"ppoitras",2751
"ppoitras",5441
"ppoitras",8312
"ppoitras",12322
"ppoitras",16376
"ppoitras",20335
"ppoitras",20335
"ppoitras",20781
"ppoitras",29127
"ppoitras",33215
"ppoitras",33624
"ppoitras",35608
"ppoitras",35626
"ppoitras",42007
"ppoitras",42007
"ppoitras",42533
"prototypic",88
"prototypic",6368
"prototypic",22790
"prototypic",28203
"prototypic",37477
"RblWthACoz",3916
"RblWthACoz",27604
"RBorsato",1093
"RBorsato",1472
"RBorsato",1904
"RBorsato",2729
"RBorsato",2904
"RBorsato",4571
"RBorsato",16403
"RBorsato",25755
"Reagan1984",6368
"Reagan1984",22505
"Reagan1984",27604
"Reagan1984",29619
"Reagan1984",32286
"Reagan1984",49058
"Reagan1984",53267
"RedDiamond",1093
"RedDiamond",3358
"RedDiamond",4373
"RedDiamond",5487
"RedDiamond",6368
"Reidrover",1670
"Reidrover",22787
"rhoadsrage",3916
"rhoadsrage",5441
"rhoadsrage",28203
"rhoadsrage",46363
"Rifugium",1093
"Rifugium",6108
"RonfromJersey",88
"RonfromJersey",1005
"RonfromJersey",1904
"RonfromJersey",3916
"RonfromJersey",6108
"RonfromJersey",6368
"RonfromJersey",6549
"RonfromJersey",16403
"RonfromJersey",33243
"RonfromJersey",38180
"RonfromJersey",52371
"RoyalT",361
"RoyalT",361
"RoyalT",1904
"RoyalT",6368
"RoyalT",29619
"RoyalT",52371
"russpowell",88
"russpowell",361
"russpowell",829
"russpowell",1093
"russpowell",1493
"russpowell",1904
"russpowell",2729
"russpowell",2751
"russpowell",6368
"russpowell",12896
"russpowell",17492
"russpowell",20478
"russpowell",20781
"russpowell",25755
"russpowell",25755
"russpowell",27604
"russpowell",28024
"russpowell",28203
"russpowell",28793
"russpowell",29619
"russpowell",32286
"russpowell",33467
"russpowell",42007
"russpowell",43385
"rye726",88
"rye726",3916
"rye726",6368
"rye726",22790
"rye726",27604
"rye726",28203
"rye726",29619
"rye726",38799
"scruffwhor",205
"scruffwhor",1093
"scruffwhor",1956
"scruffwhor",9182
"scruffwhor",33624
"scruffwhor",40999
"scruffwhor",56889
"sholland119",1005
"sholland119",6368
"sholland119",16779
"sholland119",17443
"sholland119",22790
"sholland119",28203
"sholland119",32286
"sholland119",33467
"sholland119",35626
"sholland119",59672
"Slatetank",1093
"Slatetank",2751
"Slatetank",6108
"Slatetank",6549
"Slatetank",11922
"Slatetank",15758
"Slatetank",28793
"Slatetank",29619
"Slatetank",29619
"Slatetank",29619
"Slatetank",43101
"Slatetank",62416
"srandycarter",311
"srandycarter",16779
"srandycarter",29127
"stakem",40188
"stakem",40188
"stakem",62416
"sulldaddy",1493
"sulldaddy",1670
"TastyTaste",88
"TastyTaste",611
"TastyTaste",1904
"TastyTaste",1956
"TastyTaste",2751
"TastyTaste",2904
"TastyTaste",3916
"TastyTaste",4902
"TastyTaste",6108
"TastyTaste",6368
"TastyTaste",6549
"TastyTaste",17492
"TastyTaste",28203
"tavernjef",403
"tavernjef",1093
"tavernjef",1493
"tavernjef",2751
"tavernjef",3916
"tavernjef",4902
"tavernjef",6368
"tavernjef",6368
"tavernjef",7200
"tavernjef",8312
"tavernjef",9182
"tavernjef",12335
"tavernjef",26073
"tempest",2751
"tempest",26073
"tempest",37477
"thagr81us",1093
"thagr81us",20478
"thagr81us",32286
"TheLongBeachBum",88
"TheLongBeachBum",2751
"TheLongBeachBum",3358
"TheLongBeachBum",3916
"TheLongBeachBum",4902
"TheLongBeachBum",6368
"TheLongBeachBum",22790
"TheManiacalOne",88
"TheManiacalOne",1005
"TheManiacalOne",1093
"TheManiacalOne",1616
"TheManiacalOne",2729
"TheManiacalOne",5219
"TheManiacalOne",5441
"TheManiacalOne",6368
"TheManiacalOne",17492
"TheManiacalOne",22787
"TheManiacalOne",22790
"TheManiacalOne",27604
"TheManiacalOne",28024
"TheManiacalOne",28203
"TheManiacalOne",29127
"TheManiacalOne",30420
"TheManiacalOne",33670
"TheManiacalOne",46363
"TheManiacalOne",48243
"TheManiacalOne",49058
"Thorpe429",1093
"Thorpe429",22790
"Thorpe429",27604
"Thorpe429",28203
"Thorpe429",34436
"Thorpe429",35608
"Thorpe429",39705
"Thorpe429",40502
"Thorpe429",49058
"Thorpe429",59672
"Thorpe429",60670
"tpd975",1093
"tpd975",16779
"tpd975",17900
"tpd975",22790
"tpd975",22790
"tpd975",29127
"tpd975",55417
"TurdFurgison",6076
"TurdFurgison",27604
"UnionMade",1005
"UnionMade",2729
"UnionMade",4902
"UnionMade",12322
"UnionMade",16403
"Vancer",1005
"Vancer",1093
"Vancer",3916
"Vancer",11922
"Vancer",29209
"wagenvolks",3916
"wagenvolks",6368
"wagenvolks",32286
"Wasatch",3916
"Wasatch",29619
"WesWes",3916
"WesWes",6549
"WesWes",60670
"womencantsail",20478
"womencantsail",35608
"womencantsail",59760
"woodychandler",709
"woodychandler",1005
"woodychandler",1093
"woodychandler",1472
"woodychandler",2729
"woodychandler",6549
"woodychandler",17492
"woodychandler",20781
"woodychandler",22189
"woodychandler",28203
"woodychandler",29209
"woodychandler",29209
"woodychandler",29619
"woodychandler",30420
"woodychandler",42533
"woosterbill",1093
"woosterbill",2751
"woosterbill",22790
"woosterbill",25755
"WVbeergeek",88
"WVbeergeek",1093
"WVbeergeek",2519
"WVbeergeek",2751
"WVbeergeek",3916
"WVbeergeek",5385
"WVbeergeek",6368
"WVbeergeek",6549
"WVbeergeek",6549
"WVbeergeek",20478
"WVbeergeek",29619
"WVbeergeek",31763
"WVbeergeek",33243
"WVbeergeek",42533
"WVbeergeek",43969
"WVbeergeek",48098
"WVbeergeek",49704
"WVbeergeek",52371
"WVbeergeek",62328
"yemenmocha",709
"yemenmocha",1093
"yemenmocha",3916
"yemenmocha",29619
"yemenmocha",35626
"ZAP",1093
"ZAP",9088
"ZAP",11922
"ZAP",20478
"ZAP",29619
"ZAP",35626
"ZAP",60832
"zeff80",361
"zeff80",3916
"zeff80",6368
"zeff80",20478
"zeff80",29619
"Zorro",916
"Zorro",2729
"Zorro",6108
"Zorro",38180
