"beer_id","brewery","beer name","alcohol","type"
"58534","Sun King Brewing Company","Grapefruit Jungle IPA",7.5,TRUE
"33670","Mikkeller ApS","Stateside IPA",7,TRUE
"29688","Mikkeller ApS","Cascade Single Hop IPA",6.8,TRUE
"48458","Mikkeller ApS","Nelson Sauvin Single Hop IPA",6.9,TRUE
"88","Stone Brewing Co.","Stone IPA (India Pale Ale)",6.9,TRUE
"34436","Stone Brewing Co.","Stone IPA Double Dry Hopped",6.9,TRUE
"1093","Bell's Brewery, Inc.","Two Hearted Ale",7,TRUE
"611","Anderson Valley Brewing Company","Hop Ottin' IPA",7,TRUE
"5554","Big Sky Brewing Company","Big Sky IPA",6.2,TRUE
"3358","Snoqualmie Falls Brewing Company & Taproom","Wildcat India Pale Ale",6.6,TRUE
"49704","The Brew Kettle Taproom & Smokehouse / Production Works","Red Eye PA",7,TRUE
"20969","Oaken Barrel Brewing Company","Superfly I.P.A.",7.5,TRUE
"2519","Marin Brewing Company","Marin India Pale Ale",7,TRUE
"17492","Saint Arnold Brewing Company","Saint Arnold Elissa IPA",6.6,TRUE
"43385","Tyranena Brewing Company","Scurvy",6.5,TRUE
"16403","Smuttynose Brewing Company","Smuttynose IPA ""Finest Kind""",6.9,TRUE
"26073","Sand Creek Brewing Company","Wild Ride IPA",6,TRUE
"9182","Left Hand Brewing Company","Warrior IPA",7.6,TRUE
"4902","Tyranena Brewing Company","Bitter Woman India Pale Ale",5.75,TRUE
"12335","Tyranena Brewing Company","Bitter Woman From Hell Extra IPA",NA,TRUE
"22790","Russian River Brewing Company","Blind Pig IPA",6.1,TRUE
"1616","Watch City Brewing Co.","Hops Explosion IPA",6,TRUE
"39705","Russian River Brewing Company","Russian River IPA",6.75,TRUE
"59163","Russian River Brewing Company","Registration Ale",7.5,TRUE
"6509","Russian River Brewing Company","HopTime Harvest Ale",6.75,TRUE
"6108","Dogfish Head Brewery","60 Minute IPA",6,TRUE
"3951","Dogfish Head Brewery","ApriHop",7,TRUE
"17900","Short's Brewing Company","Short's Huma-Lupa-Licious IPA",6.9,TRUE
"15758","Dogfish Head Brewery","75 Minute IPA",7.5,TRUE
"40188","Selin's Grove Brewing Company","Olde Frosty IPA",NA,TRUE
"17443","Selin's Grove Brewing Company","India Pale Ale",7,TRUE
"36585","Selin's Grove Brewing Company","SNAFU IPA",7.2,TRUE
"25755","Heavy Seas Beer","Heavy Seas - Loose Cannon (Hop3 Ale)",7.25,TRUE
"403","North Coast Brewing Co.","ACME California IPA",6.5,TRUE
"2904","New Holland Brewing Company","New Holland Mad Hatter India Pale Ale",5.25,TRUE
"4571","Mash House Restaurant & Brewery, The","Hoppy Hour IPA",5.9,TRUE
"59760","Half Acre Beer Company","Shewolf",7.8,TRUE
"29127","Three Floyds Brewing Co. & Brewpub","Broo Doo",7,TRUE
"916","Lagunitas Brewing Company","Lagunitas IPA",6.2,TRUE
"15018","The Alchemist Pub & Brewery","Holy Cow IPA",5.16,TRUE
"1746","Stone Coast Brewing Co.","420 India Pale Ale",6.9,TRUE
"5219","Portsmouth Brewery","Portsmouth Bottle Rocket IPA",6.5,TRUE
"16940","LaConner Brewing Company","India Pale Ale (Dry Hopped / Bottleworks)",7,TRUE
"28024","Deschutes Brewery","Hop Henge India Pale Ale",7,TRUE
"29209","Deschutes Brewery","Inversion IPA",6.8,TRUE
"48098","Deschutes Brewery","Red Chair IPA",6.4,TRUE
"40999","Magic Hat Brewing Company","Lucky Kat",5.8,TRUE
"31763","Coronado Brewing Company","Islander IPA",7.5,TRUE
"20781","21st Amendment Brewery","21st Amendment IPA",7,TRUE
"1005","Victory Brewing Company","HopDevil Ale",6.7,TRUE
"59672","Hill Farmstead Brewery","Hill Farmstead Citra IPA",5.5,TRUE
"22787","Alaskan Brewing Co.","Alaskan IPA",6.2,TRUE
"aerozeppl",NA,NA,NA,FALSE
"alexgash",NA,NA,NA,FALSE
"allergictomacros",NA,NA,NA,FALSE
"alleykatking",NA,NA,NA,FALSE
"Arbitrator",NA,NA,NA,FALSE
"argock",NA,NA,NA,FALSE
"ArrogantB",NA,NA,NA,FALSE
"atsprings",NA,NA,NA,FALSE
"avalon07",NA,NA,NA,FALSE
"barleywinefiend",NA,NA,NA,FALSE
"bditty187",NA,NA,NA,FALSE
"Beerandraiderfan",NA,NA,NA,FALSE
"BEERchitect",NA,NA,NA,FALSE
"BeerSox",NA,NA,NA,FALSE
"biegaman",NA,NA,NA,FALSE
"Bierman9",NA,NA,NA,FALSE
"Bighuge",NA,NA,NA,FALSE
"billab914",NA,NA,NA,FALSE
"Bitterbill",NA,NA,NA,FALSE
"blitheringidiot",NA,NA,NA,FALSE
"bobsy",NA,NA,NA,FALSE
"Brad007",NA,NA,NA,FALSE
"brentk56",NA,NA,NA,FALSE
"brewdlyhooked13",NA,NA,NA,FALSE
"BuckeyeNation",NA,NA,NA,FALSE
"canucklehead",NA,NA,NA,FALSE
"ccrida",NA,NA,NA,FALSE
"ClockworkOrange",NA,NA,NA,FALSE
"cokes",NA,NA,NA,FALSE
"corby112",NA,NA,NA,FALSE
"cpetrone84",NA,NA,NA,FALSE
"CrellMoset",NA,NA,NA,FALSE
"crossovert",NA,NA,NA,FALSE
"Cyberkedi",NA,NA,NA,FALSE
"Derek",NA,NA,NA,FALSE
"Deuane",NA,NA,NA,FALSE
"DogFood11",NA,NA,NA,FALSE
"DoubleJ",NA,NA,NA,FALSE
"drabmuh",NA,NA,NA,FALSE
"DrJay",NA,NA,NA,FALSE
"drpimento",NA,NA,NA,FALSE
"dyan",NA,NA,NA,FALSE
"feloniousmonk",NA,NA,NA,FALSE
"ffejherb",NA,NA,NA,FALSE
"flexabull",NA,NA,NA,FALSE
"Floydster",NA,NA,NA,FALSE
"francisweizen",NA,NA,NA,FALSE
"Frozensoul327",NA,NA,NA,FALSE
"garymuchow",NA,NA,NA,FALSE
"Gavage",NA,NA,NA,FALSE
"GbVDave",NA,NA,NA,FALSE
"GCBrewingCo",NA,NA,NA,FALSE
"GClarkage",NA,NA,NA,FALSE
"Georgiabeer",NA,NA,NA,FALSE
"gford217",NA,NA,NA,FALSE
"glid02",NA,NA,NA,FALSE
"Gmann",NA,NA,NA,FALSE
"granger10",NA,NA,NA,FALSE
"Gueuzedude",NA,NA,NA,FALSE
"Halcyondays",NA,NA,NA,FALSE
"Haybeerman",NA,NA,NA,FALSE
"Hojaminbag",NA,NA,NA,FALSE
"HopHead84",NA,NA,NA,FALSE
"Huhzubendah",NA,NA,NA,FALSE
"illidurit",NA,NA,NA,FALSE
"IntriqKen",NA,NA,NA,FALSE
"JamesS",NA,NA,NA,FALSE
"Jason",NA,NA,NA,FALSE
"JoeyBeerBelly",NA,NA,NA,FALSE
"johnmichaelsen",NA,NA,NA,FALSE
"jrallen34",NA,NA,NA,FALSE
"jwc215",NA,NA,NA,FALSE
"jwinship83",NA,NA,NA,FALSE
"KarlHungus",NA,NA,NA,FALSE
"kbutler1",NA,NA,NA,FALSE
"Kegatron",NA,NA,NA,FALSE
"kingcrowing",NA,NA,NA,FALSE
"kmpitz2",NA,NA,NA,FALSE
"ktrillionaire",NA,NA,NA,FALSE
"lackenhauser",NA,NA,NA,FALSE
"lacqueredmouse",NA,NA,NA,FALSE
"largadeer",NA,NA,NA,FALSE
"LilBeerDoctor",NA,NA,NA,FALSE
"magictrokini",NA,NA,NA,FALSE
"marc77",NA,NA,NA,FALSE
"MasterSki",NA,NA,NA,FALSE
"maximum12",NA,NA,NA,FALSE
"mcallister",NA,NA,NA,FALSE
"mdfb79",NA,NA,NA,FALSE
"Mebuzzard",NA,NA,NA,FALSE
"mentor",NA,NA,NA,FALSE
"merlin48",NA,NA,NA,FALSE
"Metalmonk",NA,NA,NA,FALSE
"mikesgroove",NA,NA,NA,FALSE
"Mitchster",NA,NA,NA,FALSE
"msubulldog25",NA,NA,NA,FALSE
"mynie",NA,NA,NA,FALSE
"nickd717",NA,NA,NA,FALSE
"northyorksammy",NA,NA,NA,FALSE
"nrbw23",NA,NA,NA,FALSE
"Offa",NA,NA,NA,FALSE
"orbitalr0x",NA,NA,NA,FALSE
"Overlord",NA,NA,NA,FALSE
"OWSLEY069",NA,NA,NA,FALSE
"Phatz",NA,NA,NA,FALSE
"pmcadamis",NA,NA,NA,FALSE
"ppoitras",NA,NA,NA,FALSE
"prototypic",NA,NA,NA,FALSE
"RblWthACoz",NA,NA,NA,FALSE
"RBorsato",NA,NA,NA,FALSE
"Reagan1984",NA,NA,NA,FALSE
"RedDiamond",NA,NA,NA,FALSE
"Reidrover",NA,NA,NA,FALSE
"rhoadsrage",NA,NA,NA,FALSE
"Rifugium",NA,NA,NA,FALSE
"RonfromJersey",NA,NA,NA,FALSE
"RoyalT",NA,NA,NA,FALSE
"russpowell",NA,NA,NA,FALSE
"rye726",NA,NA,NA,FALSE
"scruffwhor",NA,NA,NA,FALSE
"sholland119",NA,NA,NA,FALSE
"Slatetank",NA,NA,NA,FALSE
"srandycarter",NA,NA,NA,FALSE
"stakem",NA,NA,NA,FALSE
"sulldaddy",NA,NA,NA,FALSE
"TastyTaste",NA,NA,NA,FALSE
"tavernjef",NA,NA,NA,FALSE
"tempest",NA,NA,NA,FALSE
"thagr81us",NA,NA,NA,FALSE
"TheLongBeachBum",NA,NA,NA,FALSE
"TheManiacalOne",NA,NA,NA,FALSE
"Thorpe429",NA,NA,NA,FALSE
"tpd975",NA,NA,NA,FALSE
"TurdFurgison",NA,NA,NA,FALSE
"UnionMade",NA,NA,NA,FALSE
"Vancer",NA,NA,NA,FALSE
"wagenvolks",NA,NA,NA,FALSE
"Wasatch",NA,NA,NA,FALSE
"WesWes",NA,NA,NA,FALSE
"womencantsail",NA,NA,NA,FALSE
"woodychandler",NA,NA,NA,FALSE
"woosterbill",NA,NA,NA,FALSE
"WVbeergeek",NA,NA,NA,FALSE
"yemenmocha",NA,NA,NA,FALSE
"ZAP",NA,NA,NA,FALSE
"zeff80",NA,NA,NA,FALSE
"Zorro",NA,NA,NA,FALSE
